frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
235,30.303,2,70,"[935.462, 103.091, 2304.88]","[937.236, -98.6417, 2239.86]","[873.993, -118.69, 2393.12]","[754.644, -345.199, 2501.98]","[462.599, -279.918, 2561.31]","[1068.55, -96.4426, 2134.25]","[1102.01, -365.114, 2070.77]","[1040.82, -610.079, 1899.54]","[909.144, -353.14, 2200.21]","[901.251, -530.177, 2144.29]","[811.33, -585.857, 2152.79]","[811.593, -1008.57, 2152.68]","[811.593, -1399.51, 2152.68]","[990.312, -563.566, 2100.6]","[905.883, -918.902, 1894.08]","[909.417, -1317.05, 1898.1]","[511.273, -290.799, 2551.42]","[1051.02, -569.252, 1928.08]","[946.322, -16.3277, 2252.68]","[0, 0, 0]"
236,29.4118,2,67,"[-723.403, 175.189, 1954.29]","[-707.988, 42.2757, 1974.66]","[-806.707, 88.6005, 1827.6]","[-751.954, -116.827, 1926.23]","[-683.038, 120.255, 1858.41]","[-717.851, 76.0173, 2097.28]","[-719.679, -165.726, 2090.18]","[-719.679, -465.145, 2090.18]","[-801.767, -93.048, 2095.67]","[-759.461, -248.996, 2142.51]","[-839.32, -235.701, 2059.21]","[-661.275, -437.978, 1849.23]","[-661.703, -782.025, 1861.16]","[-683.262, -225.248, 2181.57]","[-702.809, -410.34, 1893.89]","[-642.761, -727.312, 1788.56]","[-694.527, 80.7408, 1869.71]","[-719.679, -379.106, 2090.18]","[-676.18, 88.1798, 1933.62]","[0, 0, 0]"
236,29.4118,2,70,"[935.973, 103.523, 2304.73]","[937.292, -98.3468, 2239.86]","[873.41, -118.876, 2393.24]","[754.513, -345.461, 2502.09]","[462.439, -280.544, 2560.59]","[1065.19, -95.6753, 2129.55]","[1102.69, -365.032, 2071.81]","[1040.91, -609.186, 1900.01]","[909.283, -353.008, 2200.17]","[901.522, -529.837, 2144.23]","[811.808, -585.526, 2152.47]","[812.042, -1010.23, 2152.25]","[812.042, -1401.0, 2152.25]","[990.128, -563.558, 2100.13]","[909.939, -930.052, 1901.2]","[910.583, -1321.49, 1901.32]","[511.118, -291.363, 2550.84]","[1051.21, -568.494, 1928.64]","[946.342, -16.0704, 2252.68]","[0, 0, 0]"
237,31.25,2,67,"[-722.726, 175.687, 1945.92]","[-705.291, 43.8739, 1971.47]","[-804.074, 98.2453, 1820.49]","[-749.735, -105.989, 1922.84]","[-683.061, 131.067, 1852.32]","[-718.751, 69.1483, 2087.9]","[-720.22, -173.084, 2081.35]","[-720.22, -472.869, 2081.35]","[-794.073, -86.9682, 2102.91]","[-764.381, -246.674, 2146.82]","[-835.325, -254.617, 2068.99]","[-654.844, -439.906, 1841.73]","[-648.392, -785.953, 1828.9]","[-680.142, -236.889, 2168.15]","[-703.995, -423.24, 1878.79]","[-636.783, -742.925, 1772.82]","[-694.175, 91.5585, 1864.07]","[-720.22, -386.552, 2081.35]","[-675.308, 88.0741, 1927.07]","[0, 0, 0]"
237,31.25,2,70,"[936.41, 103.799, 2304.55]","[937.341, -98.2007, 2239.86]","[872.681, -119.335, 2393.45]","[754.269, -346.011, 2502.34]","[462.029, -281.674, 2559.74]","[1063.37, -95.0045, 2126.19]","[1103.04, -364.854, 2072.58]","[1041.18, -608.42, 1900.28]","[909.348, -353.055, 2200.12]","[901.801, -529.749, 2144.19]","[812.212, -585.399, 2152.08]","[812.4, -1012.38, 2151.82]","[812.4, -1403.02, 2151.82]","[990.0, -563.67, 2099.63]","[911.685, -935.807, 1904.3]","[911.177, -1325.29, 1902.95]","[510.736, -292.397, 2550.17]","[1051.49, -567.826, 1929.0]","[946.374, -15.9582, 2252.68]","[0, 0, 0]"
238,30.303,2,67,"[-721.454, 174.715, 1936.01]","[-701.145, 42.7585, 1966.97]","[-805.131, 102.2, 1816.0]","[-745.824, -97.8198, 1923.92]","[-683.91, 141.958, 1849.82]","[-720.638, 59.7047, 2077.47]","[-722.449, -183.002, 2070.7]","[-722.449, -486.737, 2070.7]","[-779.94, -85.5252, 2108.7]","[-769.048, -249.197, 2145.59]","[-825.913, -306.286, 2097.94]","[-660.546, -423.25, 1827.53]","[-647.82, -312.343, 2119.66]","[-679.488, -273.549, 2158.87]","[-704.374, -419.005, 1848.79]","[-632.832, -744.986, 1763.69]","[-694.229, 101.996, 1862.17]","[-722.449, -400.08, 2070.7]","[-674.613, 85.9807, 1919.22]","[0, 0, 0]"
238,30.303,2,70,"[936.692, 103.982, 2304.33]","[937.391, -98.1293, 2239.85]","[871.691, -119.724, 2393.5]","[754.065, -346.582, 2502.62]","[461.729, -282.652, 2559.24]","[1063.92, -95.3448, 2125.85]","[1102.99, -365.278, 2072.56]","[1041.2, -608.598, 1900.14]","[909.389, -353.203, 2200.04]","[902.084, -529.849, 2144.14]","[812.581, -585.39, 2151.67]","[812.758, -1009.98, 2151.41]","[812.758, -1400.51, 2151.41]","[989.901, -563.827, 2099.09]","[896.451, -877.211, 1839.68]","[881.325, -1215.69, 1782.21]","[510.452, -293.306, 2549.81]","[1051.5, -568.045, 1928.87]","[946.416, -15.9151, 2252.68]","[0, 0, 0]"
239,30.303,2,67,"[-719.428, 172.171, 1925.75]","[-697.342, 37.9248, 1959.59]","[-808.918, 103.573, 1814.43]","[-742.842, -94.724, 1922.15]","[-685.779, 148.098, 1850.11]","[-724.064, 53.6106, 2067.05]","[-726.796, -185.383, 2060.75]","[-726.796, -489.353, 2060.75]","[-766.797, -93.0464, 2105.59]","[-769.86, -259.061, 2137.97]","[-838.082, -344.453, 2143.44]","[-677.937, -400.075, 1847.83]","[-692.296, -725.876, 1866.17]","[-674.37, -303.824, 2155.52]","[-705.165, -410.288, 1829.16]","[-627.666, -738.605, 1760.09]","[-695.291, 107.63, 1862.11]","[-726.796, -402.33, 2060.75]","[-673.983, 81.9808, 1910.47]","[0, 0, 0]"
239,30.303,2,70,"[936.91, 104.11, 2304.11]","[937.445, -98.0968, 2239.84]","[870.659, -119.841, 2393.43]","[754.018, -346.98, 2502.84]","[461.459, -283.968, 2558.73]","[1065.71, -96.2051, 2127.39]","[1102.71, -365.928, 2072.09]","[1041.12, -609.402, 1900.0]","[909.42, -353.408, 2199.96]","[902.368, -530.106, 2144.09]","[812.922, -585.49, 2151.26]","[813.09, -1008.17, 2151.02]","[813.09, -1398.61, 2151.02]","[989.838, -564.033, 2098.55]","[896.669, -807.826, 1778.03]","[897.295, -1147.5, 1733.84]","[510.218, -294.47, 2549.41]","[1051.39, -568.823, 1928.68]","[946.466, -15.906, 2252.68]","[0, 0, 0]"
240,30.303,2,67,"[-716.906, 168.337, 1916.46]","[-694.939, 32.1634, 1951.72]","[-813.121, 104.293, 1814.56]","[-738.143, -95.951, 1912.6]","[-680.456, 150.865, 1855.97]","[-727.934, 51.9117, 2057.54]","[-730.637, -183.554, 2052.27]","[-730.637, -487.712, 2052.27]","[-759.186, -100.349, 2100.42]","[-769.297, -267.583, 2131.01]","[-853.721, -363.749, 2159.08]","[-687.442, -377.242, 1855.45]","[-692.663, -704.005, 1859.47]","[-672.89, -334.804, 2155.39]","[-703.932, -396.518, 1816.01]","[-621.673, -724.671, 1758.44]","[-690.063, 109.733, 1865.41]","[-730.637, -400.396, 2052.27]","[-673.349, 76.6895, 1901.75]","[0, 0, 0]"
240,30.303,2,70,"[937.128, 104.196, 2303.86]","[937.72, -98.0766, 2239.84]","[869.433, -119.724, 2393.11]","[754.275, -347.378, 2502.87]","[461.232, -286.467, 2558.05]","[1067.26, -96.6559, 2128.35]","[1102.47, -366.296, 2071.82]","[1041.16, -609.971, 1900.07]","[909.464, -353.584, 2199.89]","[902.647, -530.423, 2144.04]","[813.236, -585.668, 2150.76]","[813.392, -1006.81, 2150.45]","[813.392, -1397.18, 2150.45]","[989.797, -564.286, 2098.05]","[913.69, -762.961, 1739.15]","[928.672, -1128.64, 1719.25]","[510.073, -296.619, 2548.85]","[1051.38, -569.359, 1928.7]","[946.807, -15.912, 2252.68]","[0, 0, 0]"
