frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
35,30.303,2,145,"[-297.969, 197.202, 1877.43]","[-338.572, 32.2003, 1804.21]","[-357.413, 48.5765, 1655.93]","[-367.368, -159.435, 1497.5]","[-284.637, -408.3, 1378.35]","[-289.506, -8.18437, 1984.53]","[-88.7549, -144.081, 2082.43]","[114.256, 37.2972, 2200.55]","[-321.562, -187.721, 1696.78]","[-318.348, -352.856, 1627.95]","[-400.304, -424.222, 1536.8]","[-394.235, -815.175, 1536.86]","[-394.235, -1183.19, 1536.86]","[-209.826, -432.305, 1607.7]","[-205.39, -821.032, 1610.31]","[-205.39, -1189.05, 1610.31]","[-298.426, -366.822, 1398.21]","[80.3963, 6.96913, 2180.86]","[-344.036, 102.856, 1838.73]","[0, 0, 0]"
35,30.303,2,252,"[858.364, 140.415, 2202.82]","[869.757, -32.2712, 2123.66]","[712.359, -71.39, 2166.8]","[561.308, 74.2313, 2016.05]","[561.308, -258.055, 2016.05]","[926.667, -48.6925, 1984.16]","[761.99, -153.216, 1814.74]","[551.629, -15.8486, 1945.05]","[861.645, -250.608, 2044.55]","[862.134, -421.227, 1996.02]","[779.403, -555.907, 1994.53]","[779.403, -941.973, 1994.53]","[779.403, -1305.13, 1994.53]","[940.267, -535.619, 1917.63]","[821.203, -832.937, 1702.06]","[821.203, -1196.09, 1702.06]","[561.308, -161.623, 2016.05]","[586.689, -38.7432, 1923.33]","[872.473, 40.8491, 2150.16]","[0, 0, 0]"
36,29.4118,2,145,"[-285.504, 195.525, 1876.56]","[-328.199, 31.9914, 1805.03]","[-349.732, 47.9129, 1656.69]","[-360.298, -161.509, 1499.55]","[-284.375, -412.067, 1377.69]","[-278.908, -8.08188, 1985.99]","[-73.0325, -140.844, 2081.27]","[132.353, 44.7898, 2183.63]","[-311.097, -187.478, 1698.0]","[-308.865, -354.474, 1627.23]","[-390.169, -423.045, 1538.08]","[-384.394, -813.718, 1538.23]","[-384.394, -1182.1, 1538.23]","[-201.201, -430.242, 1611.8]","[-196.696, -820.762, 1614.69]","[-196.696, -1189.14, 1614.69]","[-297.028, -370.306, 1398.0]","[98.1001, 13.7862, 2166.57]","[-333.71, 102.738, 1839.54]","[0, 0, 0]"
36,29.4118,2,252,"[856.655, 140.124, 2205.43]","[869.379, -31.6998, 2125.76]","[712.349, -71.2885, 2168.02]","[558.158, 74.7032, 2020.33]","[542.135, -255.31, 2041.73]","[925.163, -46.0307, 1984.89]","[753.163, -145.159, 1820.56]","[539.861, -7.89355, 1945.89]","[860.054, -249.62, 2045.68]","[860.868, -420.342, 1996.95]","[777.856, -553.592, 1993.65]","[770.14, -928.233, 1989.29]","[770.14, -1291.5, 1989.29]","[938.656, -532.193, 1917.75]","[820.591, -824.923, 1696.2]","[817.298, -1148.65, 1666.91]","[542.135, -158.847, 2041.73]","[575.411, -30.7687, 1925.01]","[872.501, 41.2818, 2152.58]","[0, 0, 0]"
37,29.4118,2,145,"[-273.6, 194.857, 1875.92]","[-316.814, 32.0916, 1805.55]","[-339.994, 47.6987, 1657.35]","[-352.703, -163.669, 1502.54]","[-286.998, -414.873, 1375.78]","[-266.828, -5.49266, 1988.04]","[-55.2116, -132.833, 2079.26]","[156.893, 50.4278, 2163.95]","[-298.72, -187.348, 1698.49]","[-298.044, -356.017, 1626.1]","[-377.961, -419.996, 1538.79]","[-283.223, -641.07, 1251.86]","[-230.258, -1044.85, 1279.59]","[-191.579, -425.741, 1616.55]","[-186.062, -814.523, 1619.7]","[-186.062, -1183.26, 1619.7]","[-297.945, -373.005, 1396.91]","[121.522, 19.8537, 2149.83]","[-322.648, 102.881, 1840.08]","[0, 0, 0]"
37,29.4118,2,252,"[850.497, 140.966, 2213.6]","[867.426, -29.3082, 2133.22]","[709.468, -67.6947, 2171.7]","[543.207, 73.1651, 2032.83]","[513.41, -262.626, 2057.21]","[909.335, -36.0493, 1986.73]","[720.609, -121.037, 1836.34]","[500.434, 14.941, 1950.98]","[854.049, -245.606, 2049.48]","[855.917, -416.842, 1999.82]","[773.341, -548.579, 1991.11]","[764.564, -925.413, 1986.16]","[764.564, -1289.04, 1986.16]","[932.084, -526.96, 1919.06]","[825.807, -801.311, 1673.82]","[834.74, -1119.89, 1630.18]","[513.41, -166.067, 2057.21]","[537.127, -7.71339, 1931.87]","[871.901, 43.134, 2161.26]","[0, 0, 0]"
38,31.25,2,145,"[-263.689, 195.313, 1875.6]","[-305.558, 32.3246, 1805.95]","[-332.335, 47.7362, 1658.55]","[-346.17, -165.527, 1504.34]","[-286.529, -415.806, 1372.62]","[-254.947, -0.490881, 1990.97]","[-30.5803, -109.619, 2076.73]","[191.853, 64.8779, 2145.33]","[-286.371, -187.803, 1698.48]","[-287.929, -358.014, 1625.12]","[-370.274, -415.196, 1541.24]","[-258.403, -677.552, 1282.91]","[-241.276, -1062.23, 1300.21]","[-182.556, -424.844, 1618.69]","[-177.64, -817.423, 1619.35]","[-177.64, -1186.5, 1619.35]","[-296.467, -374.093, 1394.57]","[154.766, 35.7883, 2133.9]","[-311.727, 103.146, 1840.52]","[0, 0, 0]"
38,31.25,2,252,"[842.133, 144.154, 2225.06]","[864.085, -24.9478, 2144.32]","[706.349, -62.7856, 2173.96]","[703.398, -318.826, 2175.77]","[703.398, -652.197, 2175.77]","[886.088, -19.6198, 1991.43]","[675.62, -83.1119, 1861.22]","[442.602, 45.2156, 1958.22]","[843.906, -238.369, 2054.27]","[846.734, -410.562, 2003.39]","[765.171, -542.966, 1989.07]","[756.834, -924.96, 1987.27]","[756.834, -1289.3, 1987.27]","[921.671, -522.719, 1922.51]","[829.973, -823.231, 1706.0]","[832.921, -1217.79, 1747.23]","[703.398, -555.45, 2175.77]","[481.438, 23.8471, 1942.05]","[870.836, 46.5343, 2174.48]","[0, 0, 0]"
39,29.4118,2,145,"[-255.203, 196.681, 1875.3]","[-294.689, 32.5565, 1806.11]","[-326.632, 47.8177, 1659.78]","[-341.018, -165.712, 1505.02]","[-286.089, -417.283, 1373.64]","[-237.111, 3.37878, 1990.38]","[1.82098, -67.3464, 2073.08]","[236.82, 93.1056, 2127.18]","[-275.641, -189.213, 1697.89]","[-279.228, -360.917, 1624.36]","[-363.74, -409.956, 1544.68]","[-249.176, -699.068, 1306.28]","[-247.548, -1073.32, 1317.06]","[-175.438, -424.57, 1619.05]","[-172.093, -817.671, 1618.48]","[-172.093, -1187.07, 1618.48]","[-295.244, -375.355, 1395.54]","[197.644, 66.3687, 2118.16]","[-300.777, 103.453, 1840.71]","[0, 0, 0]"
39,29.4118,2,252,"[835.837, 148.778, 2234.69]","[860.251, -19.8746, 2153.84]","[710.537, -64.9164, 2174.91]","[715.157, -329.309, 2175.1]","[715.157, -663.643, 2175.1]","[862.585, -2.09566, 1998.11]","[635.172, -48.266, 1885.14]","[407.94, 81.6319, 1993.61]","[832.157, -230.144, 2057.24]","[834.928, -403.562, 2005.69]","[754.217, -538.028, 1987.77]","[745.936, -923.305, 1987.14]","[745.936, -1288.7, 1987.14]","[909.642, -519.692, 1926.9]","[830.723, -819.298, 1698.83]","[830.242, -1179.02, 1688.29]","[715.157, -566.617, 2175.1]","[445.825, 59.9887, 1975.54]","[869.653, 50.5506, 2186.2]","[0, 0, 0]"
40,30.303,2,145,"[-246.434, 198.719, 1874.63]","[-283.933, 32.6545, 1806.34]","[-321.493, 47.6936, 1660.87]","[-335.954, -165.212, 1504.93]","[-283.493, -417.09, 1373.09]","[-216.878, 5.99694, 1987.93]","[28.9875, -33.1356, 2073.47]","[266.801, 125.059, 2120.08]","[-266.629, -191.544, 1697.86]","[-271.558, -364.356, 1624.0]","[-358.321, -404.789, 1547.33]","[-253.149, -716.436, 1329.05]","[-261.299, -1090.94, 1340.48]","[-168.314, -425.271, 1618.69]","[-164.65, -819.272, 1617.89]","[-164.65, -1189.0, 1617.89]","[-292.237, -375.111, 1395.06]","[227.166, 98.695, 2112.31]","[-289.424, 103.767, 1840.74]","[0, 0, 0]"
40,30.303,2,252,"[832.001, 153.562, 2241.61]","[856.522, -14.3174, 2160.64]","[730.74, -78.9943, 2169.19]","[747.813, -353.27, 2163.78]","[747.813, -688.829, 2163.78]","[847.595, 9.22249, 2005.86]","[609.67, -23.6972, 1903.86]","[398.375, 117.759, 2029.32]","[820.583, -221.717, 2058.49]","[822.092, -396.323, 2006.81]","[741.955, -534.218, 1987.2]","[733.874, -922.189, 1987.17]","[733.874, -1288.92, 1987.17]","[897.734, -517.494, 1932.5]","[835.36, -798.537, 1675.21]","[838.371, -1147.2, 1654.09]","[747.813, -591.447, 2163.78]","[433.615, 94.192, 2008.41]","[868.554, 55.1431, 2194.85]","[0, 0, 0]"
41,30.303,2,145,"[-237.468, 201.46, 1873.73]","[-273.205, 32.586, 1806.79]","[-315.636, 47.438, 1661.73]","[-331.309, -164.551, 1504.59]","[-280.449, -415.986, 1371.23]","[-196.893, 6.8862, 1984.38]","[49.9508, -11.3029, 2077.15]","[280.463, 156.995, 2121.88]","[-258.508, -194.302, 1699.14]","[-264.031, -367.662, 1624.18]","[-351.151, -402.86, 1549.96]","[-263.113, -729.097, 1344.18]","[-273.461, -1102.33, 1349.74]","[-161.802, -425.907, 1617.46]","[-158.504, -819.912, 1616.22]","[-158.504, -1189.96, 1616.22]","[-288.927, -374.08, 1393.46]","[242.048, 128.946, 2114.42]","[-277.84, 104.065, 1840.71]","[0, 0, 0]"
