frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
84,29.4118,2,145,"[-686.129, 325.357, 1751.82]","[-741.188, 140.46, 1722.38]","[-786.571, 132.398, 1570.02]","[-787.392, -129.656, 1475.79]","[-716.348, -418.126, 1411.66]","[-702.55, 134.384, 1870.94]","[-682.76, -142.872, 1888.66]","[-612.154, -405.645, 1753.23]","[-763.165, -100.942, 1738.6]","[-762.999, -288.018, 1711.09]","[-847.308, -327.159, 1630.47]","[-686.473, -615.864, 1387.76]","[-687.25, -1001.95, 1390.87]","[-681.113, -360.03, 1771.2]","[-680.88, -769.273, 1772.32]","[-680.88, -1154.83, 1772.32]","[-728.189, -370.048, 1422.35]","[-623.925, -361.848, 1775.8]","[-733.713, 222.555, 1716.87]","[0, 0, 0]"
84,29.4118,2,200,"[404.614, 298.491, 2194.54]","[450.603, 102.625, 2169.87]","[393.781, 97.7295, 2318.76]","[405.348, -163.038, 2374.16]","[295.024, -426.851, 2365.41]","[536.642, 98.0673, 2041.45]","[588.688, -158.7, 1990.82]","[536.503, -414.026, 1872.79]","[473.502, -143.796, 2173.01]","[475.608, -336.531, 2139.34]","[394.795, -402.294, 2178.26]","[394.795, -801.035, 2178.26]","[394.795, -1176.11, 2178.26]","[554.164, -389.292, 2079.25]","[469.352, -678.392, 1818.06]","[471.518, -902.736, 2118.64]","[313.411, -382.882, 2366.87]","[545.2, -371.472, 1892.46]","[443.167, 182.648, 2168.85]","[0, 0, 0]"
85,30.303,2,145,"[-685.743, 325.791, 1755.12]","[-741.274, 140.428, 1725.29]","[-786.783, 132.953, 1573.77]","[-787.584, -127.565, 1477.81]","[-716.65, -415.004, 1412.27]","[-701.543, 133.682, 1874.0]","[-682.832, -143.118, 1881.76]","[-611.516, -409.622, 1756.35]","[-762.653, -101.124, 1738.56]","[-762.739, -286.431, 1711.57]","[-847.112, -329.351, 1630.76]","[-685.901, -617.123, 1387.24]","[-685.458, -1002.7, 1384.11]","[-681.497, -361.57, 1771.76]","[-682.136, -772.886, 1771.46]","[-682.136, -1158.46, 1771.46]","[-728.473, -367.098, 1423.19]","[-623.402, -365.205, 1777.25]","[-734.001, 222.602, 1720.78]","[0, 0, 0]"
85,30.303,2,200,"[404.449, 300.663, 2191.19]","[450.261, 104.559, 2168.06]","[391.504, 98.8326, 2315.47]","[405.266, -161.596, 2371.71]","[295.907, -425.96, 2361.61]","[534.225, 99.6616, 2038.13]","[587.153, -156.966, 1987.73]","[536.357, -413.376, 1871.03]","[472.955, -141.659, 2172.03]","[474.575, -334.707, 2138.14]","[393.344, -399.709, 2176.31]","[386.118, -785.582, 2166.59]","[386.118, -1162.37, 2166.59]","[552.678, -386.832, 2077.75]","[465.336, -674.236, 1815.63]","[466.51, -898.828, 2116.38]","[314.133, -381.899, 2363.29]","[544.824, -370.641, 1890.48]","[442.885, 184.583, 2166.77]","[0, 0, 0]"
86,30.303,2,145,"[-685.403, 325.922, 1758.96]","[-741.157, 140.328, 1727.86]","[-786.221, 133.625, 1576.78]","[-787.657, -125.785, 1479.76]","[-716.535, -412.477, 1413.82]","[-700.323, 132.771, 1876.93]","[-682.501, -143.568, 1881.84]","[-614.377, -412.986, 1762.33]","[-762.124, -101.365, 1737.84]","[-762.498, -285.295, 1711.62]","[-846.295, -335.775, 1632.1]","[-684.941, -615.548, 1379.87]","[-684.197, -999.061, 1372.32]","[-683.007, -364.75, 1771.57]","[-684.39, -777.192, 1770.95]","[-684.39, -1162.78, 1770.95]","[-728.389, -364.695, 1424.81]","[-625.732, -368.083, 1782.25]","[-734.023, 222.569, 1724.47]","[0, 0, 0]"
86,30.303,2,200,"[403.864, 307.38, 2180.21]","[449.308, 111.007, 2161.34]","[389.843, 103.905, 2306.92]","[404.838, -156.981, 2360.62]","[297.356, -422.747, 2348.15]","[529.869, 102.73, 2029.87]","[583.988, -152.774, 1975.55]","[534.299, -411.771, 1862.5]","[471.317, -134.299, 2168.56]","[471.686, -328.75, 2133.89]","[390.447, -395.68, 2167.94]","[384.832, -786.623, 2151.61]","[384.832, -1163.06, 2151.61]","[548.063, -381.869, 2072.85]","[457.901, -662.291, 1804.57]","[443.569, -1015.73, 1783.0]","[315.269, -378.451, 2350.23]","[542.581, -368.607, 1881.34]","[442.133, 191.019, 2158.98]","[0, 0, 0]"
87,30.303,2,145,"[-685.146, 325.861, 1763.03]","[-740.973, 140.221, 1730.16]","[-785.363, 134.171, 1579.4]","[-787.749, -124.504, 1481.94]","[-716.092, -410.548, 1415.76]","[-699.039, 131.818, 1879.76]","[-682.004, -144.087, 1879.29]","[-616.913, -417.076, 1767.52]","[-761.613, -101.627, 1736.76]","[-762.288, -284.519, 1711.53]","[-844.868, -344.225, 1634.17]","[-843.732, -760.5, 1635.67]","[-843.732, -1146.09, 1635.67]","[-685.387, -370.306, 1769.67]","[-687.235, -784.391, 1767.86]","[-687.235, -1169.98, 1767.86]","[-728.035, -362.874, 1426.79]","[-627.763, -371.578, 1786.15]","[-733.95, 222.514, 1727.91]","[0, 0, 0]"
87,30.303,2,200,"[403.117, 315.24, 2163.06]","[447.907, 118.862, 2149.44]","[387.017, 107.48, 2290.58]","[402.829, -154.739, 2336.75]","[299.512, -423.356, 2325.36]","[522.213, 107.632, 2013.72]","[579.048, -146.602, 1956.25]","[530.765, -408.726, 1847.07]","[469.178, -124.794, 2161.66]","[467.993, -321.872, 2125.8]","[387.981, -391.798, 2157.87]","[385.78, -786.975, 2148.17]","[385.78, -1163.14, 2148.17]","[541.825, -377.354, 2063.63]","[448.362, -650.251, 1788.78]","[439.144, -1015.29, 1773.13]","[316.731, -378.586, 2327.26]","[538.812, -365.042, 1865.27]","[440.931, 198.821, 2145.41]","[0, 0, 0]"
88,31.25,2,145,"[-684.713, 324.399, 1766.1]","[-740.782, 140.138, 1732.22]","[-784.586, 134.408, 1581.88]","[-787.802, -123.759, 1484.29]","[-715.272, -409.142, 1417.83]","[-698.344, 132.318, 1883.37]","[-681.211, -142.926, 1873.86]","[-620.015, -420.775, 1773.56]","[-761.133, -101.892, 1735.6]","[-762.106, -284.01, 1711.41]","[-844.961, -345.748, 1634.01]","[-845.292, -755.295, 1633.43]","[-845.292, -1140.89, 1633.43]","[-685.155, -371.614, 1769.29]","[-684.52, -781.554, 1769.14]","[-684.52, -1167.15, 1769.14]","[-727.361, -361.578, 1428.91]","[-630.215, -374.468, 1790.27]","[-733.86, 222.465, 1731.07]","[0, 0, 0]"
88,31.25,2,200,"[402.512, 319.595, 2147.24]","[446.566, 123.484, 2135.71]","[385.972, 111.886, 2276.48]","[400.367, -152.134, 2310.61]","[300.074, -423.939, 2301.23]","[516.887, 109.082, 1997.65]","[574.682, -144.148, 1936.66]","[524.739, -410.21, 1833.11]","[467.518, -118.568, 2151.33]","[465.176, -318.458, 2115.64]","[385.24, -386.955, 2148.99]","[383.379, -782.244, 2143.24]","[383.379, -1158.19, 2143.24]","[537.169, -374.727, 2052.97]","[437.332, -649.917, 1782.54]","[429.441, -1028.56, 1780.44]","[316.789, -378.639, 2302.79]","[533.062, -365.869, 1850.37]","[439.651, 203.39, 2130.55]","[0, 0, 0]"
89,30.303,2,145,"[-682.83, 322.057, 1768.35]","[-740.557, 140.084, 1734.06]","[-783.795, 134.626, 1584.05]","[-787.861, -123.358, 1486.96]","[-713.771, -407.994, 1420.32]","[-697.384, 132.356, 1886.39]","[-679.889, -141.255, 1860.75]","[-619.311, -423.563, 1774.36]","[-760.658, -102.248, 1734.45]","[-761.935, -284.05, 1711.41]","[-845.373, -346.177, 1632.93]","[-845.834, -755.409, 1631.82]","[-845.834, -1141.0, 1631.82]","[-685.221, -374.84, 1768.82]","[-685.094, -786.772, 1768.56]","[-685.094, -1172.36, 1768.56]","[-726.12, -360.555, 1431.42]","[-629.405, -376.514, 1788.76]","[-733.727, 222.429, 1733.92]","[0, 0, 0]"
89,30.303,2,200,"[401.831, 320.692, 2135.67]","[445.357, 125.08, 2122.48]","[387.405, 116.785, 2266.21]","[397.396, -148.618, 2289.88]","[299.747, -424.652, 2279.9]","[511.826, 109.444, 1981.59]","[569.901, -143.613, 1920.01]","[516.084, -413.745, 1820.3]","[466.18, -115.75, 2139.91]","[463.002, -317.764, 2105.0]","[381.241, -380.406, 2140.83]","[378.516, -774.7, 2136.26]","[378.516, -1150.47, 2136.26]","[533.262, -373.428, 2041.48]","[425.864, -654.722, 1780.49]","[418.662, -1036.08, 1781.35]","[316.022, -378.646, 2281.57]","[525.053, -368.724, 1836.92]","[438.452, 204.949, 2116.69]","[0, 0, 0]"
90,30.303,2,145,"[-679.239, 319.482, 1769.49]","[-740.073, 140.057, 1735.62]","[-783.092, 134.653, 1586.06]","[-787.927, -123.399, 1489.97]","[-711.462, -406.953, 1422.44]","[-696.375, 132.565, 1889.18]","[-676.526, -140.171, 1857.21]","[-616.984, -423.101, 1772.22]","[-760.177, -102.723, 1733.38]","[-761.765, -284.753, 1711.47]","[-845.742, -345.754, 1631.02]","[-846.048, -754.726, 1629.45]","[-846.048, -1140.31, 1629.45]","[-684.212, -377.199, 1769.21]","[-683.252, -788.284, 1769.68]","[-683.252, -1173.87, 1769.68]","[-724.207, -359.694, 1433.7]","[-626.907, -375.946, 1786.39]","[-733.254, 222.402, 1736.37]","[0, 0, 0]"
90,30.303,2,200,"[400.814, 320.151, 2127.57]","[443.919, 124.982, 2111.14]","[388.989, 120.786, 2258.19]","[391.487, -145.419, 2274.59]","[298.05, -425.541, 2262.88]","[505.259, 108.536, 1967.56]","[563.325, -145.198, 1908.9]","[505.391, -418.119, 1811.46]","[464.277, -115.007, 2129.18]","[460.053, -318.08, 2094.55]","[375.084, -372.706, 2130.62]","[370.796, -766.453, 2124.33]","[370.796, -1142.08, 2124.33]","[528.698, -372.026, 2030.48]","[416.371, -664.167, 1784.12]","[411.269, -1047.88, 1788.8]","[313.623, -378.853, 2264.83]","[515.047, -372.631, 1827.7]","[437.144, 204.847, 2105.14]","[0, 0, 0]"
91,31.25,2,145,"[-674.882, 317.224, 1770.17]","[-738.949, 139.999, 1736.64]","[-782.403, 134.641, 1587.65]","[-787.999, -123.833, 1493.4]","[-708.965, -405.463, 1421.79]","[-694.707, 132.727, 1891.3]","[-670.155, -139.352, 1858.09]","[-615.564, -422.637, 1771.53]","[-759.2, -103.389, 1732.14]","[-761.52, -285.983, 1710.0]","[-845.986, -344.607, 1627.19]","[-846.13, -753.312, 1624.24]","[-846.13, -1138.89, 1624.24]","[-683.258, -378.483, 1769.29]","[-682.544, -788.721, 1769.38]","[-682.544, -1174.3, 1769.38]","[-722.137, -358.525, 1433.73]","[-624.661, -375.422, 1785.95]","[-732.098, 222.331, 1738.17]","[0, 0, 0]"
