frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
119,30.303,2,249,"[-885.275, 394.298, 1849.39]","[-942.038, 226.22, 1782.2]","[-1042.89, 229.768, 1663.63]","[-1246.03, 273.24, 1486.62]","[-1510.28, 305.47, 1266.37]","[-1021.37, 182.21, 1881.93]","[-1012.36, -90.273, 1879.6]","[-1012.36, -438.641, 1879.6]","[-976.613, -17.9187, 1773.68]","[-951.177, -205.391, 1721.98]","[-914.317, -573.304, 1638.45]","[-914.317, -975.141, 1638.45]","[-914.317, -1353.13, 1638.45]","[-898.399, -566.122, 1692.17]","[-898.399, -967.96, 1692.17]","[-898.399, -1345.95, 1692.17]","[-1431.7, 223.65, 1352.49]","[-1012.36, -338.27, 1879.6]","[-930.289, 306.348, 1783.93]","[0, 0, 0]"
119,30.303,2,174,"[403.896, 328.422, 2095.45]","[450.953, 133.207, 2085.75]","[388.227, 111.298, 2224.95]","[400.174, -166.053, 2221.39]","[329.975, -453.222, 2181.55]","[505.744, 113.518, 1949.99]","[561.506, -149.215, 1878.02]","[485.6, -417.289, 1770.57]","[479.408, -111.593, 2085.55]","[469.823, -311.704, 2052.11]","[385.168, -383.325, 2080.15]","[381.649, -786.403, 2068.62]","[381.649, -1170.4, 2068.62]","[533.074, -378.182, 1982.91]","[420.46, -673.348, 1735.49]","[305.83, -797.587, 2077.52]","[341.667, -405.352, 2188.19]","[498.248, -372.613, 1788.48]","[441.61, 213.587, 2085.81]","[0, 0, 0]"
120,30.303,2,249,"[-883.288, 390.194, 1837.95]","[-938.851, 221.406, 1772.4]","[-1039.16, 227.477, 1653.07]","[-1242.92, 292.766, 1484.18]","[-1461.54, 453.43, 1266.33]","[-1013.99, 181.915, 1876.29]","[-1006.4, -88.4963, 1873.12]","[-1006.4, -436.251, 1873.12]","[-975.046, -21.5613, 1768.13]","[-950.01, -209.519, 1718.27]","[-914.315, -573.358, 1638.45]","[-914.315, -975.065, 1638.45]","[-914.315, -1352.93, 1638.45]","[-898.391, -566.173, 1692.19]","[-898.391, -967.88, 1692.19]","[-898.391, -1345.75, 1692.19]","[-1418.51, 336.16, 1329.21]","[-1006.4, -335.912, 1873.12]","[-926.515, 301.436, 1772.61]","[0, 0, 0]"
120,30.303,2,174,"[403.159, 330.169, 2080.91]","[446.358, 135.424, 2069.5]","[387.478, 115.874, 2212.77]","[398.662, -158.884, 2193.9]","[333.821, -446.26, 2145.54]","[496.681, 118.708, 1930.47]","[553.058, -142.488, 1861.84]","[472.46, -409.979, 1756.57]","[473.89, -110.526, 2065.6]","[463.579, -312.311, 2033.96]","[380.873, -386.212, 2066.82]","[378.628, -790.806, 2060.51]","[378.628, -1173.53, 2060.51]","[528.421, -385.472, 1970.02]","[411.831, -663.715, 1706.21]","[290.263, -788.957, 2046.5]","[344.627, -398.361, 2153.6]","[485.894, -365.396, 1774.12]","[437.356, 215.829, 2070.77]","[0, 0, 0]"
121,30.303,2,249,"[-880.834, 386.469, 1825.94]","[-935.764, 217.371, 1762.02]","[-1034.83, 226.064, 1641.38]","[-1239.25, 305.287, 1480.79]","[-1318.95, 614.115, 1339.17]","[-1005.75, 180.234, 1867.44]","[-999.194, -90.5402, 1861.54]","[-999.194, -437.773, 1861.54]","[-973.553, -23.7153, 1762.74]","[-948.977, -212.177, 1714.85]","[-914.314, -573.401, 1638.44]","[-914.314, -974.968, 1638.44]","[-914.314, -1352.7, 1638.44]","[-898.384, -566.213, 1692.2]","[-898.384, -967.78, 1692.2]","[-898.384, -1345.51, 1692.2]","[-1355.59, 451.183, 1349.29]","[-999.194, -337.469, 1861.54]","[-922.869, 297.274, 1760.6]","[0, 0, 0]"
121,30.303,2,174,"[401.614, 330.46, 2070.66]","[440.767, 136.301, 2055.69]","[387.368, 122.267, 2204.43]","[384.216, -132.315, 2121.88]","[324.36, -420.104, 2109.58]","[487.64, 123.181, 1913.12]","[543.193, -137.313, 1847.69]","[455.552, -400.27, 1744.24]","[465.776, -111.23, 2050.04]","[457.301, -314.899, 2021.03]","[376.536, -388.932, 2060.09]","[374.174, -792.644, 2058.84]","[374.174, -1174.35, 2058.84]","[525.555, -391.924, 1962.57]","[412.392, -675.253, 1702.3]","[275.842, -803.306, 2035.29]","[334.324, -372.15, 2111.63]","[470.162, -356.441, 1761.48]","[432.63, 216.789, 2057.53]","[0, 0, 0]"
122,30.303,2,249,"[-877.424, 383.538, 1814.84]","[-932.135, 215.027, 1751.62]","[-1030.46, 225.121, 1631.0]","[-1235.27, 312.791, 1477.02]","[-1132.27, 645.066, 1478.57]","[-999.587, 180.305, 1856.45]","[-995.761, -88.3335, 1849.21]","[-995.761, -435.115, 1849.21]","[-971.32, -23.7577, 1757.44]","[-947.646, -212.797, 1711.72]","[-914.313, -573.434, 1638.44]","[-914.313, -974.849, 1638.44]","[-914.313, -1352.44, 1638.44]","[-898.378, -566.244, 1692.21]","[-898.378, -967.66, 1692.21]","[-898.378, -1345.25, 1692.21]","[-1253.66, 520.058, 1416.59]","[-995.761, -334.849, 1849.21]","[-918.641, 294.76, 1748.57]","[0, 0, 0]"
122,30.303,2,174,"[396.369, 329.674, 2064.42]","[433.707, 136.666, 2044.56]","[387.145, 126.095, 2196.56]","[378.994, -135.57, 2137.16]","[320.13, -422.693, 2112.02]","[477.188, 127.429, 1897.97]","[529.542, -134.034, 1839.44]","[439.677, -395.58, 1735.86]","[455.408, -112.497, 2039.7]","[450.4, -318.108, 2013.25]","[371.176, -390.33, 2057.68]","[367.9, -792.562, 2058.85]","[367.9, -1173.45, 2058.85]","[521.946, -394.316, 1956.92]","[416.644, -701.046, 1723.35]","[255.023, -814.24, 2048.88]","[329.932, -374.847, 2116.21]","[454.657, -351.987, 1753.13]","[426.683, 217.263, 2046.14]","[0, 0, 0]"
123,30.303,2,249,"[-873.173, 381.204, 1805.01]","[-927.878, 213.981, 1741.7]","[-1025.66, 224.672, 1621.46]","[-1231.12, 316.921, 1472.61]","[-1029.48, 581.041, 1571.56]","[-992.963, 182.271, 1846.87]","[-988.943, -84.6285, 1841.39]","[-988.943, -431.013, 1841.39]","[-968.689, -23.0888, 1752.45]","[-946.137, -212.686, 1708.86]","[-914.313, -573.457, 1638.43]","[-914.313, -974.711, 1638.43]","[-914.313, -1352.15, 1638.43]","[-898.375, -566.266, 1692.22]","[-898.375, -967.52, 1692.22]","[-898.375, -1344.96, 1692.22]","[-1157.42, 527.605, 1488.8]","[-988.943, -330.788, 1841.39]","[-913.724, 293.498, 1737.09]","[0, 0, 0]"
123,30.303,2,174,"[386.803, 328.375, 2060.21]","[425.519, 136.96, 2036.0]","[386.055, 130.025, 2190.18]","[376.212, -136.729, 2160.19]","[315.303, -422.709, 2121.42]","[467.113, 129.127, 1887.36]","[512.686, -133.493, 1832.9]","[423.559, -397.197, 1733.16]","[443.407, -113.594, 2033.51]","[442.553, -320.91, 2008.77]","[364.83, -391.03, 2056.6]","[360.847, -792.673, 2057.64]","[360.847, -1172.91, 2057.64]","[515.132, -393.86, 1951.11]","[414.278, -717.888, 1739.15]","[244.847, -814.427, 2065.69]","[325.451, -375.053, 2127.89]","[438.416, -353.246, 1749.78]","[419.757, 217.664, 2036.81]","[0, 0, 0]"
