frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
34,30.303,2,67,"[-277.464, 206.217, 1895.18]","[-314.36, 29.7518, 1804.5]","[-318.315, 46.3832, 1652.14]","[-317.814, -174.281, 1484.49]","[-232.404, -447.162, 1373.48]","[-215.769, -67.7144, 1846.56]","[-215.769, -345.281, 1846.56]","[-215.769, -705.151, 1846.56]","[-298.945, -185.675, 1686.25]","[-288.226, -376.533, 1617.72]","[-377.473, -450.393, 1523.19]","[-376.709, -868.169, 1522.8]","[-376.709, -1260.75, 1522.8]","[-177.382, -463.519, 1641.57]","[-175.198, -878.559, 1640.98]","[-175.198, -1271.14, 1640.98]","[-246.639, -401.682, 1391.98]","[-215.769, -600.905, 1846.56]","[-319.624, 103.336, 1844.88]","[0, 0, 0]"
34,30.303,2,96,"[822.867, -3.39303, 2046.88]","[852.557, -163.4, 2049.85]","[791.055, -207.22, 2150.23]","[791.055, -437.939, 2150.23]","[791.055, -729.024, 2150.23]","[995.891, -101.656, 1971.35]","[784.793, -45.632, 1896.98]","[601.492, 99.4357, 1979.61]","[840.392, -384.549, 2039.44]","[842.25, -545.044, 2003.72]","[758.805, -607.869, 2027.2]","[691.726, -938.736, 2007.09]","[691.726, -1256.86, 2007.09]","[929.155, -583.152, 1958.65]","[857.276, -837.757, 1747.97]","[857.276, -1155.88, 1747.97]","[791.055, -644.549, 2150.23]","[632.042, 75.2578, 1965.83]","[856.298, -95.4071, 2053.06]","[0, 0, 0]"
35,28.5714,2,67,"[-277.636, 205.981, 1895.32]","[-314.215, 28.683, 1805.55]","[-318.186, 46.5908, 1654.01]","[-317.786, -174.619, 1486.11]","[-230.08, -445.056, 1370.97]","[-203.263, -57.3055, 1819.69]","[-203.263, -335.382, 1819.69]","[-203.263, -695.333, 1819.69]","[-298.397, -186.839, 1688.09]","[-286.503, -377.203, 1617.66]","[-376.555, -451.171, 1523.7]","[-376.364, -869.253, 1524.11]","[-376.364, -1262.07, 1524.11]","[-176.151, -467.698, 1640.78]","[-176.033, -888.825, 1640.29]","[-176.033, -1281.64, 1640.29]","[-244.698, -399.984, 1390.16]","[-203.263, -591.025, 1819.69]","[-319.626, 102.428, 1845.74]","[0, 0, 0]"
35,28.5714,2,96,"[825.808, -1.16178, 2046.29]","[851.841, -161.991, 2050.51]","[787.598, -202.713, 2150.72]","[770.287, -411.385, 2153.2]","[770.287, -702.47, 2153.2]","[999.195, -100.932, 1981.32]","[789.76, -43.2782, 1903.64]","[600.841, 97.4842, 1972.22]","[838.045, -382.444, 2043.07]","[841.244, -542.934, 2006.37]","[757.773, -600.273, 2027.12]","[690.54, -931.252, 2009.43]","[684.54, -1211.65, 2021.16]","[926.275, -576.708, 1961.54]","[851.952, -827.653, 1747.73]","[825.353, -1095.3, 1746.57]","[770.287, -617.995, 2153.2]","[632.334, 74.0427, 1960.79]","[856.109, -94.0305, 2052.79]","[0, 0, 0]"
36,30.303,2,67,"[-277.876, 205.57, 1895.12]","[-314.038, 27.4217, 1806.39]","[-318.022, 46.5574, 1655.23]","[-317.884, -176.411, 1488.87]","[-233.204, -445.893, 1369.28]","[-200.792, -57.2058, 1833.27]","[-200.792, -335.679, 1833.27]","[-200.792, -695.681, 1833.27]","[-297.759, -188.465, 1690.35]","[-284.706, -378.143, 1617.75]","[-375.813, -451.321, 1524.56]","[-375.61, -869.024, 1525.2]","[-375.61, -1262.01, 1525.2]","[-174.738, -470.526, 1640.79]","[-174.177, -890.085, 1640.99]","[-174.177, -1283.07, 1640.99]","[-247.317, -400.98, 1389.21]","[-200.792, -591.328, 1833.27]","[-319.618, 101.424, 1846.17]","[0, 0, 0]"
36,30.303,2,96,"[833.57, 9.76574, 2044.37]","[849.289, -152.094, 2053.49]","[779.872, -181.813, 2156.49]","[764.66, -373.063, 2167.73]","[764.66, -664.145, 2167.73]","[1003.28, -98.8948, 2001.15]","[796.799, -32.0689, 1922.38]","[595.849, 94.557, 1954.94]","[831.521, -370.176, 2053.55]","[838.418, -531.291, 2014.78]","[757.049, -581.105, 2027.64]","[682.108, -910.516, 2015.75]","[665.48, -1187.79, 2028.07]","[916.633, -560.447, 1969.29]","[837.836, -790.781, 1738.2]","[810.619, -1038.05, 1719.63]","[764.66, -579.671, 2167.73]","[629.346, 73.5307, 1949.52]","[854.871, -84.2604, 2053.42]","[0, 0, 0]"
37,30.303,2,67,"[-278.146, 205.155, 1894.79]","[-313.67, 25.9533, 1807.44]","[-317.897, 45.6799, 1656.03]","[-318.005, -180.661, 1493.68]","[-240.142, -448.464, 1366.17]","[-247.563, -69.9143, 1858.04]","[-139.714, -237.835, 2051.2]","[83.1749, -191.408, 2182.79]","[-296.972, -190.677, 1694.05]","[-283.204, -379.51, 1619.01]","[-374.888, -450.736, 1525.73]","[-374.423, -868.016, 1526.57]","[-374.423, -1261.12, 1526.57]","[-172.769, -469.813, 1642.68]","[-171.616, -886.376, 1644.4]","[-171.616, -1279.48, 1644.4]","[-253.115, -403.829, 1387.42]","[45.7778, -198.641, 2160.86]","[-319.409, 100.402, 1846.41]","[0, 0, 0]"
37,30.303,2,96,"[840.585, 28.3919, 2042.96]","[844.536, -133.945, 2057.6]","[768.029, -147.514, 2164.94]","[756.07, -344.63, 2173.35]","[756.07, -635.705, 2173.35]","[1003.95, -95.5454, 2024.99]","[800.765, -16.5703, 1948.21]","[587.004, 93.2988, 1941.87]","[822.241, -348.409, 2065.02]","[832.271, -511.689, 2025.67]","[753.647, -559.068, 2028.13]","[667.12, -885.632, 2028.4]","[651.605, -1179.42, 2041.47]","[901.9, -543.442, 1977.5]","[830.1, -771.387, 1740.42]","[824.183, -1074.98, 1744.9]","[756.07, -551.233, 2173.35]","[622.63, 75.0668, 1942.93]","[851.63, -66.2748, 2055.2]","[0, 0, 0]"
38,30.303,2,67,"[-276.72, 204.815, 1894.44]","[-312.062, 24.6267, 1808.98]","[-317.492, 43.8184, 1657.0]","[-318.065, -184.493, 1496.89]","[-234.027, -447.276, 1363.14]","[-212.293, -58.9133, 1837.41]","[-81.8314, -187.541, 2044.72]","[108.062, -51.4025, 2205.85]","[-294.56, -193.132, 1699.39]","[-281.265, -381.29, 1622.3]","[-372.764, -448.624, 1527.59]","[-371.249, -864.822, 1528.92]","[-371.249, -1257.99, 1528.92]","[-169.195, -463.747, 1647.09]","[-166.691, -876.268, 1650.61]","[-166.691, -1269.44, 1650.61]","[-248.034, -403.48, 1385.43]","[76.2812, -73.8521, 2179.0]","[-318.096, 99.683, 1846.75]","[0, 0, 0]"
38,30.303,2,96,"[835.022, 46.0772, 2045.36]","[837.647, -116.138, 2060.77]","[723.657, -107.59, 2124.11]","[686.515, -310.458, 2084.67]","[686.515, -601.506, 2084.67]","[998.362, -91.3886, 2037.88]","[797.442, -0.809583, 1969.6]","[573.818, 95.7499, 1945.16]","[813.414, -327.455, 2070.38]","[823.712, -493.622, 2032.76]","[745.054, -546.215, 2027.46]","[650.69, -870.753, 2029.57]","[638.931, -1181.21, 2027.94]","[891.031, -534.046, 1981.07]","[828.278, -771.292, 1749.9]","[828.999, -1095.53, 1758.96]","[686.515, -517.042, 2084.67]","[611.089, 79.692, 1949.23]","[845.427, -48.5221, 2057.67]","[0, 0, 0]"
39,30.303,2,67,"[-272.497, 204.425, 1894.1]","[-308.33, 23.7436, 1810.44]","[-316.682, 42.1493, 1657.93]","[-318.067, -185.828, 1496.96]","[-225.944, -445.751, 1362.99]","[-193.402, -53.3036, 1825.0]","[-45.3305, -137.548, 2043.33]","[135.461, 44.234, 2206.6]","[-289.344, -194.959, 1703.94]","[-278.483, -383.251, 1626.64]","[-369.681, -445.185, 1530.3]","[-367.51, -860.569, 1532.21]","[-367.51, -1253.76, 1532.21]","[-165.004, -454.723, 1653.23]","[-162.22, -865.758, 1657.69]","[-162.22, -1258.95, 1657.69]","[-241.298, -402.43, 1385.32]","[105.3, 13.9552, 2179.39]","[-314.887, 99.2628, 1847.21]","[0, 0, 0]"
39,30.303,2,96,"[815.506, 57.8193, 2052.17]","[828.685, -101.903, 2063.48]","[696.155, -30.5809, 2068.22]","[680.482, -205.875, 2025.38]","[680.482, -496.866, 2025.38]","[988.026, -84.2499, 2039.28]","[786.519, 11.4748, 1982.68]","[557.264, 101.265, 1961.15]","[805.589, -311.12, 2070.43]","[814.118, -479.744, 2034.9]","[732.201, -541.434, 2025.95]","[722.739, -879.837, 2024.69]","[722.739, -1197.86, 2024.69]","[884.881, -531.549, 1980.51]","[827.038, -774.492, 1753.23]","[827.373, -1098.16, 1754.79]","[680.482, -412.418, 2025.38]","[595.471, 86.3006, 1964.74]","[836.159, -34.2182, 2061.24]","[0, 0, 0]"
40,30.303,2,67,"[-264.569, 203.614, 1893.6]","[-302.168, 23.144, 1811.93]","[-315.409, 41.2356, 1658.11]","[-318.086, -185.701, 1495.47]","[-223.781, -448.339, 1362.29]","[-175.932, -46.8449, 1823.2]","[-18.1553, -94.975, 2047.97]","[166.671, 110.686, 2197.51]","[-280.791, -196.728, 1708.21]","[-274.42, -385.478, 1631.5]","[-365.676, -439.389, 1534.87]","[-362.934, -853.077, 1538.16]","[-362.934, -1246.25, 1538.16]","[-160.147, -444.168, 1659.85]","[-157.014, -854.832, 1664.2]","[-157.014, -1248.0, 1664.2]","[-239.498, -404.566, 1384.49]","[135.868, 76.3508, 2172.59]","[-309.549, 99.051, 1847.74]","[0, 0, 0]"
40,30.303,2,96,"[789.968, 64.9143, 2061.9]","[817.949, -90.6243, 2066.81]","[699.39, 42.8007, 2031.19]","[709.693, -140.27, 2010.66]","[709.693, -431.165, 2010.66]","[973.633, -76.202, 2034.29]","[770.211, 21.2156, 1992.69]","[539.959, 111.857, 1980.42]","[797.913, -298.476, 2068.76]","[804.293, -468.911, 2034.74]","[718.854, -540.865, 2025.3]","[710.187, -881.244, 2025.0]","[710.187, -1199.16, 2025.0]","[880.213, -531.402, 1979.06]","[823.492, -774.475, 1751.25]","[821.345, -1093.3, 1748.39]","[709.693, -346.745, 2010.66]","[578.332, 96.7431, 1982.47]","[824.479, -22.8367, 2066.19]","[0, 0, 0]"
41,29.4118,2,67,"[-253.567, 202.882, 1894.11]","[-293.504, 22.8097, 1814.71]","[-313.471, 40.2761, 1659.26]","[-318.129, -186.37, 1496.12]","[-225.999, -449.829, 1361.12]","[-155.703, -37.8485, 1826.94]","[-0.935733, -63.9666, 2059.36]","[198.821, 143.871, 2187.67]","[-270.114, -198.288, 1712.73]","[-269.463, -387.471, 1636.88]","[-361.19, -430.436, 1541.9]","[-358.277, -841.865, 1546.91]","[-358.277, -1234.98, 1546.91]","[-154.23, -442.617, 1660.83]","[-150.427, -861.641, 1660.06]","[-150.427, -1254.75, 1660.06]","[-241.353, -405.919, 1383.62]","[165.521, 109.187, 2166.29]","[-301.557, 98.9629, 1849.84]","[0, 0, 0]"
41,29.4118,2,96,"[767.4, 69.0952, 2075.5]","[806.424, -82.9376, 2070.76]","[733.085, 117.452, 2009.99]","[733.085, -110.945, 2009.99]","[733.085, -402.446, 2009.99]","[955.755, -68.2292, 2023.21]","[749.775, 28.121, 2005.32]","[521.266, 124.91, 2002.88]","[790.222, -289.77, 2066.76]","[795.164, -461.447, 2033.59]","[707.925, -545.483, 2024.96]","[701.937, -888.749, 2024.88]","[701.937, -1206.52, 2024.88]","[876.424, -532.002, 1977.92]","[805.041, -765.928, 1745.39]","[790.356, -1076.9, 1740.11]","[733.085, -318.067, 2009.99]","[559.351, 108.774, 2003.29]","[811.738, -15.0839, 2072.08]","[0, 0, 0]"
