frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
34,30.303,2,171,"[404.979, 304.533, 1935.01]","[430.382, 131.087, 1872.76]","[411.802, 131.758, 2045.66]","[412.895, -120.331, 2045.58]","[412.895, -443.826, 2045.58]","[483.883, 118.594, 1764.51]","[437.808, -94.3472, 1637.72]","[264.422, -297.938, 1572.55]","[414.355, -84.1771, 1795.1]","[404.764, -263.998, 1760.72]","[313.591, -402.009, 1746.66]","[317.269, -556.408, 1572.73]","[322.331, -1109.14, 1601.67]","[485.547, -405.035, 1749.99]","[489.113, -787.705, 1753.78]","[489.113, -1141.01, 1753.78]","[412.895, -350.01, 2045.58]","[293.336, -264.018, 1583.41]","[435.668, 202.079, 1898.37]","[0, 0, 0]"
34,30.303,2,148,"[-724.196, 362.093, 1817.72]","[-752.88, 171.151, 1781.19]","[-828.654, 161.385, 1650.76]","[-831.874, -127.594, 1580.35]","[-704.395, -369.165, 1443.55]","[-701.183, 168.881, 1926.15]","[-516.873, -63.318, 1950.45]","[-226.376, -111.416, 1869.08]","[-756.792, -82.378, 1785.2]","[-756.715, -269.781, 1748.76]","[-833.672, -322.73, 1690.79]","[-709.246, -608.998, 1425.43]","[-709.246, -994.378, 1425.43]","[-684.431, -332.291, 1798.37]","[-684.431, -741.985, 1798.37]","[-684.431, -1127.36, 1798.37]","[-725.641, -328.903, 1466.35]","[-274.792, -103.4, 1882.64]","[-751.606, 253.713, 1779.88]","[0, 0, 0]"
35,29.4118,2,171,"[408.586, 306.653, 1935.72]","[431.21, 130.703, 1874.98]","[414.803, 131.868, 2045.64]","[344.98, -76.965, 1944.38]","[296.838, -374.836, 1910.27]","[483.963, 118.647, 1764.62]","[424.845, -94.07, 1637.49]","[231.781, -277.118, 1563.97]","[414.818, -86.3736, 1804.3]","[405.363, -266.509, 1770.94]","[315.288, -417.874, 1754.44]","[322.306, -667.805, 1580.6]","[324.52, -1116.67, 1587.77]","[491.652, -408.038, 1752.45]","[497.563, -783.717, 1752.3]","[497.563, -1137.43, 1752.3]","[296.838, -280.91, 1910.27]","[263.973, -246.623, 1576.22]","[436.633, 202.528, 1898.36]","[0, 0, 0]"
35,29.4118,2,148,"[-723.084, 362.824, 1818.86]","[-752.071, 172.103, 1781.81]","[-827.355, 162.3, 1651.06]","[-834.38, -127.21, 1584.81]","[-706.474, -367.381, 1445.55]","[-699.703, 169.92, 1926.43]","[-515.822, -62.4244, 1951.15]","[-225.521, -111.989, 1869.11]","[-756.422, -81.3504, 1786.35]","[-756.583, -268.734, 1749.55]","[-833.347, -320.644, 1691.19]","[-708.777, -607.394, 1426.42]","[-706.413, -984.711, 1431.38]","[-684.061, -331.262, 1798.3]","[-682.215, -735.814, 1798.0]","[-682.215, -1121.19, 1798.0]","[-727.791, -327.354, 1468.76]","[-273.905, -103.728, 1882.78]","[-750.654, 254.659, 1780.33]","[0, 0, 0]"
36,29.4118,2,171,"[410.809, 308.13, 1936.2]","[432.105, 130.296, 1877.54]","[418.903, 131.93, 2045.71]","[421.76, -127.783, 2045.8]","[421.76, -451.973, 2045.8]","[484.075, 118.695, 1764.71]","[412.048, -92.0091, 1635.31]","[199.475, -254.658, 1566.1]","[415.354, -88.8192, 1814.79]","[406.099, -270.037, 1782.11]","[316.126, -428.095, 1759.63]","[324.497, -729.534, 1583.74]","[324.578, -1119.53, 1585.48]","[495.133, -410.063, 1752.79]","[497.544, -786.388, 1751.59]","[497.544, -1140.54, 1751.59]","[421.76, -357.932, 2045.8]","[234.901, -227.546, 1577.64]","[437.661, 202.984, 1898.36]","[0, 0, 0]"
36,29.4118,2,148,"[-719.643, 365.119, 1822.49]","[-749.707, 174.983, 1784.18]","[-824.946, 164.767, 1653.15]","[-840.283, -125.482, 1592.27]","[-709.938, -366.651, 1452.85]","[-696.748, 171.704, 1927.71]","[-512.16, -60.198, 1952.59]","[-221.474, -115.165, 1868.66]","[-755.582, -78.1432, 1790.61]","[-756.283, -265.521, 1752.37]","[-831.844, -317.583, 1692.98]","[-708.366, -604.601, 1427.99]","[-707.558, -984.514, 1431.04]","[-683.674, -329.904, 1798.5]","[-682.919, -736.952, 1798.89]","[-682.919, -1122.33, 1798.89]","[-731.661, -326.457, 1476.08]","[-269.922, -106.002, 1882.65]","[-747.789, 257.511, 1782.08]","[0, 0, 0]"
37,30.303,2,171,"[411.965, 309.262, 1936.56]","[433.138, 130.294, 1879.91]","[423.473, 132.073, 2045.69]","[426.445, -129.217, 2045.67]","[426.445, -456.613, 2045.67]","[484.206, 118.797, 1764.88]","[398.821, -89.1189, 1634.45]","[166.244, -230.591, 1576.3]","[415.95, -90.5901, 1824.42]","[406.754, -272.466, 1791.7]","[316.791, -431.633, 1763.64]","[324.845, -757.158, 1585.9]","[323.927, -1117.78, 1586.83]","[495.79, -410.548, 1752.81]","[495.562, -786.695, 1752.05]","[495.562, -1141.29, 1752.05]","[426.445, -362.453, 2045.67]","[204.992, -206.993, 1585.99]","[438.85, 203.716, 1898.36]","[0, 0, 0]"
37,30.303,2,148,"[-715.769, 368.025, 1828.22]","[-746.71, 178.506, 1788.2]","[-821.777, 167.553, 1656.41]","[-846.446, -122.992, 1600.04]","[-713.557, -366.021, 1460.03]","[-693.221, 173.37, 1930.73]","[-509.9, -59.5278, 1954.93]","[-217.927, -119.27, 1868.43]","[-754.531, -74.0961, 1796.77]","[-755.869, -261.725, 1756.47]","[-830.071, -315.019, 1695.46]","[-706.433, -597.727, 1426.03]","[-704.324, -975.896, 1423.49]","[-682.685, -328.868, 1799.3]","[-681.64, -737.666, 1800.16]","[-681.64, -1123.05, 1800.16]","[-735.705, -325.517, 1483.36]","[-266.589, -109.311, 1882.85]","[-744.153, 260.995, 1785.4]","[0, 0, 0]"
38,30.303,2,171,"[413.003, 310.009, 1936.78]","[435.298, 130.695, 1881.87]","[428.043, 132.439, 2045.3]","[430.803, -130.06, 2044.97]","[430.803, -457.295, 2044.97]","[484.792, 121.761, 1763.35]","[388.772, -84.9277, 1634.45]","[138.542, -201.843, 1596.51]","[416.995, -91.5039, 1832.36]","[408.051, -273.077, 1799.34]","[317.9, -432.041, 1768.22]","[324.12, -765.514, 1586.86]","[322.849, -1114.9, 1586.89]","[495.901, -410.806, 1753.2]","[495.507, -787.806, 1753.13]","[495.507, -1142.87, 1753.13]","[430.803, -363.011, 2044.97]","[180.228, -182.32, 1602.84]","[441.391, 204.67, 1898.35]","[0, 0, 0]"
38,30.303,2,148,"[-713.182, 370.198, 1833.14]","[-744.229, 180.808, 1792.33]","[-819.099, 169.073, 1659.44]","[-849.002, -121.139, 1605.97]","[-716.998, -365.159, 1463.84]","[-690.077, 174.018, 1934.7]","[-509.295, -60.2251, 1957.34]","[-216.988, -121.763, 1868.29]","[-753.417, -71.601, 1802.01]","[-755.385, -259.882, 1760.08]","[-829.01, -316.167, 1697.41]","[-703.151, -592.496, 1422.5]","[-700.511, -974.501, 1419.47]","[-680.993, -329.974, 1800.57]","[-679.641, -740.975, 1801.59]","[-679.641, -1126.36, 1801.59]","[-738.998, -324.489, 1487.53]","[-265.706, -111.506, 1883.13]","[-741.226, 263.272, 1789.17]","[0, 0, 0]"
