frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
93,31.25,2,252,"[341.29, 281.38, 2163.21]","[388.43, 122.546, 2095.29]","[350.78, 105.81, 2247.02]","[339.623, -136.47, 2211.53]","[275.73, -396.752, 2173.87]","[417.527, 111.354, 1966.2]","[455.928, -121.283, 1899.73]","[349.741, -348.662, 1798.02]","[405.78, -92.3278, 2057.84]","[409.31, -268.928, 2023.28]","[323.683, -349.039, 2004.44]","[319.292, -634.686, 1780.54]","[493.27, -850.121, 1967.81]","[487.295, -351.514, 1980.66]","[435.996, -660.541, 1800.38]","[435.508, -1009.12, 1799.42]","[286.379, -353.373, 2180.15]","[367.438, -310.765, 1814.97]","[382.61, 194.664, 2107.86]","[0, 0, 0]"
94,30.303,2,145,"[-183.28, 300.828, 1380.38]","[-234.959, 103.174, 1425.23]","[-355.893, 84.5392, 1301.98]","[-369.544, -196.158, 1211.05]","[-312.458, -424.818, 989.425]","[-133.078, 113.89, 1549.25]","[-51.5567, -156.85, 1635.01]","[8.6374, -464.218, 1553.98]","[-239.449, -132.46, 1481.5]","[-239.943, -340.48, 1450.29]","[-350.954, -347.536, 1390.53]","[-348.765, -778.533, 1388.03]","[-348.765, -1183.92, 1388.03]","[-125.091, -366.203, 1495.37]","[-122.44, -797.11, 1491.37]","[-122.44, -1202.49, 1491.37]","[-321.972, -386.711, 1026.36]","[-1.39506, -412.989, 1567.49]","[-233.345, 187.654, 1405.06]","[0, 0, 0]"
94,30.303,2,252,"[325.836, 273.072, 2170.92]","[377.595, 114.637, 2104.33]","[338.732, 100.804, 2257.28]","[331.266, -144.41, 2219.48]","[269.668, -408.703, 2183.11]","[409.429, 108.325, 1973.67]","[445.096, -126.966, 1903.33]","[341.754, -357.852, 1798.44]","[396.721, -102.773, 2066.97]","[403.35, -278.81, 2030.72]","[320.51, -354.369, 2013.19]","[314.43, -626.626, 1767.68]","[505.912, -846.762, 1950.52]","[479.422, -353.408, 1986.17]","[419.374, -662.787, 1800.13]","[405.426, -1013.85, 1799.65]","[279.934, -364.654, 2189.17]","[358.976, -319.371, 1815.92]","[371.161, 187.76, 2116.89]","[0, 0, 0]"
95,30.303,2,145,"[-179.395, 302.22, 1370.14]","[-228.638, 103.879, 1417.37]","[-350.341, 86.2475, 1295.02]","[-362.724, -196.165, 1207.19]","[-311.566, -428.219, 986.814]","[-126.326, 116.696, 1541.18]","[-47.8593, -155.757, 1626.43]","[17.0585, -463.931, 1549.89]","[-233.694, -131.065, 1474.43]","[-233.764, -339.174, 1443.89]","[-345.174, -347.523, 1384.96]","[-290.535, -474.916, 996.468]","[-278.734, -883.21, 976.707]","[-119.71, -365.005, 1491.06]","[-117.366, -794.884, 1490.15]","[-117.366, -1200.24, 1490.15]","[-320.093, -389.547, 1023.54]","[6.24071, -412.569, 1562.65]","[-226.82, 188.273, 1396.87]","[0, 0, 0]"
95,30.303,2,252,"[307.109, 269.424, 2177.4]","[365.136, 110.794, 2113.94]","[322.292, 98.7276, 2267.1]","[321.608, -149.363, 2229.35]","[264.398, -417.362, 2194.26]","[396.622, 107.969, 1982.13]","[433.145, -128.587, 1906.74]","[334.298, -362.448, 1797.86]","[388.624, -109.031, 2076.04]","[397.759, -283.619, 2038.23]","[317.096, -360.617, 2025.45]","[313.537, -619.235, 1759.85]","[490.671, -855.634, 1946.99]","[470.323, -356.656, 1987.96]","[383.156, -663.128, 1800.5]","[354.853, -1015.98, 1800.73]","[273.933, -372.695, 2200.11]","[350.77, -323.471, 1816.01]","[357.252, 184.604, 2126.66]","[0, 0, 0]"
96,29.4118,2,145,"[-175.94, 303.945, 1360.77]","[-222.563, 104.906, 1409.84]","[-346.919, 88.8102, 1290.54]","[-357.4, -193.452, 1204.16]","[-314.741, -432.183, 989.619]","[-117.82, 118.595, 1530.91]","[-43.2461, -154.033, 1616.74]","[26.4331, -462.29, 1545.7]","[-227.589, -129.665, 1467.71]","[-227.195, -337.904, 1438.16]","[-339.645, -347.594, 1381.18]","[-285.292, -467.881, 977.677]","[-282.578, -867.982, 968.2]","[-114.633, -364.022, 1488.93]","[-112.202, -794.253, 1489.13]","[-112.202, -1199.59, 1489.13]","[-321.855, -392.398, 1025.38]","[14.8224, -410.914, 1557.54]","[-220.755, 189.22, 1389.04]","[0, 0, 0]"
96,29.4118,2,252,"[287.052, 268.694, 2182.11]","[351.081, 109.32, 2122.43]","[305.574, 96.4072, 2275.03]","[312.229, -154.271, 2237.8]","[260.398, -424.502, 2205.66]","[382.371, 108.38, 1990.74]","[421.824, -128.566, 1909.67]","[326.987, -363.518, 1797.69]","[379.966, -112.77, 2082.9]","[390.705, -286.479, 2043.96]","[311.588, -368.997, 2031.02]","[314.252, -624.531, 1756.91]","[400.277, -879.914, 1967.88]","[460.885, -362.285, 1987.24]","[346.563, -665.012, 1800.75]","[322.003, -1022.15, 1800.86]","[269.037, -379.463, 2211.02]","[342.792, -324.36, 1816.36]","[341.439, 183.52, 2135.63]","[0, 0, 0]"
97,31.25,2,145,"[-171.975, 305.841, 1352.84]","[-216.705, 106.123, 1402.33]","[-342.109, 90.289, 1285.1]","[-353.561, -192.108, 1203.27]","[-318.47, -434.222, 992.559]","[-108.554, 120.35, 1519.41]","[-35.1477, -150.561, 1607.75]","[34.6959, -458.403, 1539.38]","[-221.655, -128.146, 1461.71]","[-221.235, -336.472, 1432.87]","[-334.957, -347.912, 1378.51]","[-332.746, -779.029, 1377.76]","[-332.746, -1184.33, 1377.76]","[-110.191, -363.66, 1486.82]","[-108.091, -794.453, 1486.33]","[-108.091, -1199.76, 1486.33]","[-324.322, -393.871, 1027.68]","[23.056, -407.096, 1550.78]","[-214.927, 190.299, 1380.99]","[0, 0, 0]"
97,31.25,2,252,"[267.234, 269.452, 2185.31]","[335.804, 108.987, 2128.93]","[289.764, 93.8242, 2280.99]","[302.194, -147.376, 2205.09]","[296.418, -466.812, 2174.77]","[366.475, 109.45, 1997.43]","[412.393, -127.572, 1912.68]","[319.759, -363.546, 1798.21]","[369.999, -115.242, 2087.26]","[381.82, -289.343, 2047.73]","[300.412, -375.082, 2032.99]","[316.37, -622.155, 1747.77]","[230.791, -860.631, 1944.23]","[454.346, -365.346, 1985.2]","[336.264, -670.29, 1796.89]","[336.171, -1032.34, 1793.52]","[296.418, -371.734, 2174.77]","[335.198, -324.217, 1817.29]","[324.47, 183.379, 2142.76]","[0, 0, 0]"
98,28.5714,2,145,"[-167.835, 307.57, 1345.23]","[-211.348, 107.481, 1395.21]","[-338.182, 90.9715, 1281.32]","[-349.873, -190.832, 1201.65]","[-322.126, -436.341, 995.618]","[-103.666, 121.921, 1511.1]","[-25.6481, -146.248, 1599.82]","[41.9773, -453.167, 1530.85]","[-216.371, -126.529, 1456.73]","[-215.969, -334.914, 1428.44]","[-330.564, -348.272, 1375.87]","[-328.394, -779.357, 1374.76]","[-328.394, -1184.63, 1374.76]","[-104.759, -363.781, 1481.72]","[-101.634, -794.885, 1478.34]","[-101.634, -1200.16, 1478.34]","[-326.753, -395.423, 1029.96]","[30.7066, -402.014, 1542.35]","[-209.546, 191.457, 1373.14]","[0, 0, 0]"
98,28.5714,2,252,"[249.501, 271.514, 2186.51]","[320.114, 109.068, 2133.09]","[274.749, 90.5952, 2284.37]","[284.614, -129.775, 2160.55]","[272.694, -445.238, 2126.22]","[355.056, 112.139, 2002.21]","[402.333, -126.193, 1915.93]","[313.257, -365.522, 1800.77]","[358.762, -117.397, 2089.48]","[371.466, -292.773, 2049.55]","[285.877, -376.858, 2033.75]","[318.296, -620.72, 1743.95]","[108.494, -828.501, 1903.38]","[446.665, -366.473, 1982.31]","[342.662, -675.158, 1787.11]","[353.805, -1037.98, 1779.31]","[272.694, -349.714, 2126.22]","[328.104, -325.634, 1819.96]","[307.407, 183.575, 2147.43]","[0, 0, 0]"
