frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
92,30.303,2,122,"[-627.203, 365.781, 1786.45]","[-655.457, 166.853, 1749.9]","[-715.347, 161.567, 1605.46]","[-728.244, -107.082, 1553.97]","[-611.961, -384.04, 1450.53]","[-611.566, 169.343, 1907.5]","[-611.858, -103.879, 1907.63]","[-611.858, -470.125, 1907.63]","[-653.896, -97.0976, 1743.9]","[-649.639, -279.244, 1706.01]","[-731.816, -324.741, 1642.22]","[-610.191, -622.721, 1393.84]","[-609.247, -1006.34, 1395.22]","[-565.928, -351.376, 1737.79]","[-685.058, -607.63, 1445.62]","[-684.899, -988.704, 1442.29]","[-631.342, -337.88, 1467.77]","[-611.858, -368.729, 1907.63]","[-655.942, 248.657, 1751.75]","[0, 0, 0]"
93,29.4118,2,122,"[-622.869, 363.749, 1786.46]","[-655.52, 166.731, 1750.15]","[-715.211, 161.724, 1605.72]","[-728.286, -106.411, 1554.02]","[-610.801, -383.772, 1451.91]","[-611.797, 169.449, 1907.83]","[-612.342, -103.553, 1908.02]","[-612.342, -470.21, 1908.02]","[-653.899, -98.0855, 1743.88]","[-649.673, -280.588, 1706.25]","[-733.38, -326.233, 1641.11]","[-609.45, -624.817, 1394.77]","[-609.202, -1007.88, 1395.08]","[-565.533, -356.392, 1737.49]","[-686.974, -607.224, 1441.65]","[-688.767, -989.313, 1439.66]","[-630.382, -337.545, 1468.93]","[-612.342, -368.813, 1908.02]","[-656.022, 248.534, 1752.09]","[0, 0, 0]"
94,31.25,2,122,"[-620.376, 362.073, 1786.58]","[-655.559, 166.725, 1750.45]","[-715.049, 161.916, 1606.03]","[-728.336, -105.776, 1554.1]","[-610.674, -383.795, 1452.56]","[-612.225, 169.483, 1908.24]","[-612.729, -103.303, 1908.5]","[-612.729, -470.382, 1908.5]","[-653.966, -98.7411, 1743.86]","[-649.75, -281.859, 1706.34]","[-734.754, -327.766, 1640.3]","[-610.339, -627.708, 1396.02]","[-611.398, -1011.43, 1396.71]","[-564.365, -359.018, 1737.54]","[-690.806, -605.986, 1440.65]","[-693.878, -987.133, 1441.06]","[-630.285, -337.459, 1469.48]","[-612.729, -368.985, 1908.5]","[-656.05, 248.525, 1752.48]","[0, 0, 0]"
95,30.303,2,122,"[-619.196, 360.828, 1786.8]","[-655.592, 166.757, 1750.77]","[-714.885, 162.111, 1606.36]","[-728.379, -105.25, 1554.34]","[-611.124, -383.846, 1452.6]","[-612.375, 169.565, 1908.68]","[-612.508, -102.945, 1908.94]","[-612.508, -470.326, 1908.94]","[-654.112, -99.116, 1743.84]","[-649.991, -282.911, 1706.27]","[-735.175, -327.923, 1640.4]","[-613.741, -631.401, 1399.18]","[-616.664, -1015.68, 1401.5]","[-563.99, -358.576, 1737.72]","[-692.28, -605.097, 1441.32]","[-692.878, -986.544, 1442.68]","[-630.667, -337.414, 1469.56]","[-612.508, -368.929, 1908.94]","[-656.048, 248.554, 1752.91]","[0, 0, 0]"
96,29.4118,2,122,"[-618.814, 359.955, 1787.1]","[-655.635, 166.793, 1751.12]","[-714.746, 162.294, 1606.69]","[-728.514, -104.86, 1554.88]","[-612.035, -383.822, 1452.3]","[-612.404, 169.564, 1909.11]","[-612.41, -102.838, 1909.36]","[-612.41, -470.386, 1909.36]","[-654.322, -99.2513, 1743.83]","[-650.529, -283.705, 1706.11]","[-736.317, -327.716, 1640.16]","[-614.867, -631.677, 1399.63]","[-615.332, -1012.86, 1399.36]","[-563.116, -356.815, 1738.66]","[-692.275, -603.997, 1443.28]","[-691.722, -985.212, 1445.24]","[-631.449, -337.328, 1469.39]","[-612.41, -368.99, 1909.36]","[-656.038, 248.587, 1753.36]","[0, 0, 0]"
97,32.2581,2,122,"[-618.922, 359.254, 1787.86]","[-656.057, 166.821, 1751.48]","[-715.127, 161.7, 1607.86]","[-728.857, -105.114, 1555.23]","[-613.003, -384.233, 1451.78]","[-612.522, 169.753, 1909.54]","[-612.609, -102.331, 1909.77]","[-612.609, -469.964, 1909.77]","[-656.143, -99.0502, 1743.83]","[-653.094, -284.164, 1705.87]","[-738.683, -328.268, 1638.97]","[-629.541, -668.73, 1449.16]","[-641.233, -1082.41, 1490.96]","[-564.137, -354.707, 1739.31]","[-693.002, -605.662, 1442.67]","[-693.35, -989.242, 1442.0]","[-632.312, -337.713, 1469.02]","[-612.609, -368.568, 1909.77]","[-656.03, 248.612, 1753.83]","[0, 0, 0]"
98,30.303,2,122,"[-619.465, 358.691, 1789.07]","[-656.582, 166.84, 1751.89]","[-715.689, 160.964, 1609.39]","[-729.702, -105.493, 1555.74]","[-614.495, -384.594, 1451.11]","[-612.65, 169.971, 1909.8]","[-612.734, -101.995, 1909.89]","[-612.734, -469.721, 1909.89]","[-658.389, -98.3436, 1744.08]","[-656.442, -284.043, 1705.64]","[-741.087, -329.123, 1637.79]","[-649.176, -697.34, 1492.51]","[-663.64, -1097.96, 1521.93]","[-566.29, -351.827, 1739.97]","[-692.747, -606.186, 1443.79]","[-692.288, -988.39, 1444.76]","[-633.696, -338.077, 1468.55]","[-612.734, -368.325, 1909.89]","[-656.024, 248.627, 1754.3]","[0, 0, 0]"
99,30.303,2,122,"[-620.33, 358.322, 1790.33]","[-657.263, 166.855, 1752.41]","[-716.674, 159.721, 1611.76]","[-731.002, -106.284, 1556.52]","[-616.073, -384.957, 1450.08]","[-612.839, 170.312, 1909.82]","[-612.969, -101.47, 1909.75]","[-612.969, -469.311, 1909.75]","[-661.257, -96.7498, 1744.78]","[-660.234, -282.767, 1705.44]","[-742.794, -329.69, 1637.74]","[-666.646, -714.372, 1522.03]","[-677.573, -1103.52, 1537.06]","[-568.57, -344.434, 1741.97]","[-691.009, -603.744, 1448.56]","[-689.426, -983.366, 1452.46]","[-635.228, -338.511, 1467.82]","[-612.969, -367.915, 1909.75]","[-656.021, 248.635, 1754.77]","[0, 0, 0]"
100,30.303,2,122,"[-621.059, 359.224, 1792.0]","[-658.188, 166.872, 1753.24]","[-717.941, 158.195, 1614.91]","[-733.362, -107.299, 1557.95]","[-618.752, -385.182, 1448.65]","[-613.106, 170.797, 1909.6]","[-613.29, -100.813, 1909.36]","[-613.29, -468.831, 1909.36]","[-665.089, -94.4608, 1746.77]","[-664.252, -280.65, 1706.72]","[-744.356, -330.219, 1639.23]","[-642.832, -671.34, 1457.2]","[-617.607, -1011.59, 1392.61]","[-573.428, -340.258, 1746.09]","[-690.107, -597.947, 1449.75]","[-689.556, -975.156, 1449.99]","[-637.854, -338.868, 1466.87]","[-613.29, -367.436, 1909.36]","[-656.022, 248.64, 1755.27]","[0, 0, 0]"
101,30.303,2,122,"[-621.779, 360.631, 1793.97]","[-659.334, 166.901, 1754.79]","[-719.17, 157.293, 1618.26]","[-738.376, -107.858, 1561.24]","[-624.49, -384.19, 1446.66]","[-613.389, 171.314, 1909.53]","[-613.57, -100.243, 1909.48]","[-613.57, -468.569, 1909.48]","[-669.783, -91.8463, 1750.61]","[-668.083, -278.229, 1710.44]","[-745.77, -329.893, 1643.56]","[-630.611, -636.676, 1412.36]","[-621.169, -992.852, 1379.07]","[-580.473, -337.153, 1754.33]","[-692.647, -573.884, 1441.27]","[-694.981, -936.433, 1433.49]","[-643.47, -338.135, 1465.75]","[-613.57, -367.173, 1909.48]","[-656.026, 248.642, 1756.1]","[0, 0, 0]"
