frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
104,30.303,2,44,"[991.885, 135.948, 2238.18]","[1003.07, -43.8107, 2185.44]","[1013.03, -51.0165, 2358.6]","[863.408, -252.871, 2268.63]","[790.348, -244.413, 1992.41]","[1135.1, -46.045, 2096.13]","[1022.5, -263.91, 1990.88]","[797.668, -85.4965, 1972.64]","[970.735, -284.932, 2137.35]","[949.101, -459.508, 2072.17]","[841.915, -514.336, 2083.04]","[841.484, -914.875, 2082.33]","[841.484, -1280.01, 2082.33]","[1023.99, -489.589, 1984.34]","[924.247, -808.773, 1769.97]","[925.158, -1184.54, 1778.53]","[802.523, -245.798, 2038.45]","[835.147, -115.295, 1975.68]","[1013.27, 32.2735, 2200.61]","[0, 0, 0]"
105,30.303,2,44,"[989.617, 135.038, 2239.31]","[1002.87, -43.8111, 2185.29]","[1008.75, -50.3999, 2359.74]","[859.188, -256.904, 2271.93]","[799.323, -245.61, 1994.63]","[1141.93, -46.1444, 2103.45]","[1023.82, -261.195, 1991.52]","[801.177, -84.1865, 1971.17]","[970.196, -286.368, 2136.38]","[948.89, -461.111, 2071.63]","[841.271, -514.559, 2081.24]","[840.972, -912.576, 2079.83]","[840.972, -1277.71, 2079.83]","[1023.24, -489.922, 1983.22]","[925.954, -819.531, 1783.1]","[926.464, -1191.36, 1792.28]","[809.3, -247.477, 2040.85]","[838.287, -113.728, 1974.56]","[1013.11, 32.2345, 2200.61]","[0, 0, 0]"
106,30.303,2,44,"[987.436, 134.583, 2239.8]","[1002.42, -43.7706, 2184.92]","[1008.65, -50.3852, 2360.55]","[856.64, -257.952, 2272.89]","[806.191, -246.337, 1994.43]","[1146.0, -45.8174, 2107.58]","[1025.41, -260.268, 1991.93]","[803.948, -84.4827, 1966.9]","[968.884, -287.17, 2134.59]","[948.598, -462.24, 2070.97]","[840.738, -514.712, 2078.45]","[840.503, -910.756, 2076.4]","[840.503, -1275.89, 2076.4]","[1022.3, -490.213, 1982.04]","[926.836, -827.088, 1795.05]","[926.867, -1195.82, 1802.3]","[814.598, -248.264, 2040.84]","[840.859, -113.802, 1971.07]","[1012.89, 32.1667, 2200.62]","[0, 0, 0]"
107,30.303,2,44,"[985.167, 134.356, 2239.8]","[1001.5, -43.5604, 2184.23]","[1009.41, -50.4833, 2361.18]","[854.789, -257.245, 2271.73]","[807.56, -245.149, 1994.56]","[1149.29, -44.2732, 2110.33]","[1028.24, -259.503, 1993.16]","[808.702, -86.9049, 1958.03]","[965.775, -287.108, 2131.47]","[948.135, -462.896, 2070.29]","[840.197, -514.969, 2073.54]","[839.919, -909.562, 2069.94]","[839.919, -1274.7, 2069.94]","[1021.11, -490.554, 1980.82]","[924.808, -829.477, 1800.62]","[922.619, -1194.11, 1802.16]","[815.431, -247.161, 2040.75]","[845.291, -115.679, 1963.89]","[1012.61, 32.1335, 2200.62]","[0, 0, 0]"
108,30.303,2,44,"[982.161, 134.09, 2239.53]","[999.869, -43.2179, 2183.44]","[1009.69, -50.7033, 2361.66]","[853.601, -256.596, 2269.52]","[794.675, -242.787, 1995.44]","[1150.11, -43.6203, 2110.97]","[1031.6, -261.973, 1994.59]","[817.52, -87.8338, 1943.96]","[960.751, -286.433, 2127.94]","[947.308, -462.959, 2069.71]","[839.564, -515.001, 2069.48]","[839.198, -908.151, 2067.04]","[839.198, -1273.29, 2067.04]","[1019.54, -490.881, 1979.65]","[918.5, -828.218, 1802.17]","[913.215, -1190.67, 1801.07]","[804.493, -245.087, 2041.12]","[853.192, -116.861, 1952.4]","[1011.99, 32.1373, 2200.63]","[0, 0, 0]"
109,30.303,2,44,"[978.368, 133.708, 2239.11]","[997.754, -42.8176, 2182.58]","[1009.68, -50.9592, 2362.04]","[852.647, -255.87, 2266.72]","[779.052, -242.988, 1996.08]","[1149.03, -44.4883, 2110.98]","[1032.85, -264.547, 1993.41]","[826.945, -85.9018, 1926.62]","[955.31, -285.575, 2124.13]","[946.262, -462.698, 2069.29]","[838.79, -515.048, 2065.69]","[838.31, -907.24, 2063.56]","[838.31, -1272.37, 2063.56]","[1017.99, -491.134, 1978.75]","[904.057, -791.772, 1759.73]","[892.371, -1125.92, 1722.15]","[791.315, -245.135, 2041.19]","[861.252, -115.681, 1937.75]","[1010.86, 32.1697, 2200.63]","[0, 0, 0]"
110,31.25,2,44,"[975.255, 132.363, 2238.32]","[995.622, -42.5263, 2182.02]","[1009.77, -51.1954, 2362.37]","[851.348, -255.047, 2265.26]","[770.735, -244.365, 1995.75]","[1147.16, -45.0106, 2110.16]","[1033.22, -266.221, 1991.12]","[829.881, -88.7481, 1911.25]","[951.471, -282.752, 2122.21]","[945.257, -459.98, 2069.73]","[837.891, -515.091, 2064.2]","[837.329, -906.49, 2064.03]","[837.329, -1271.62, 2064.03]","[1016.99, -491.363, 1978.47]","[883.851, -725.243, 1706.17]","[868.953, -1040.44, 1666.1]","[784.17, -246.145, 2040.67]","[863.768, -118.327, 1924.56]","[1009.36, 32.2178, 2200.64]","[0, 0, 0]"
111,30.303,2,44,"[972.488, 130.816, 2237.54]","[993.606, -42.4025, 2181.75]","[1008.92, -51.3653, 2362.68]","[849.622, -254.343, 2264.47]","[780.218, -245.891, 1991.38]","[1144.11, -45.1339, 2108.04]","[1033.2, -267.971, 1988.63]","[828.99, -94.1722, 1900.44]","[949.398, -282.139, 2121.13]","[944.284, -459.095, 2069.81]","[836.996, -515.382, 2064.03]","[836.467, -913.078, 2064.65]","[836.467, -1278.21, 2064.65]","[1016.6, -491.95, 1978.82]","[899.644, -773.128, 1746.01]","[917.134, -1192.88, 1790.6]","[791.781, -247.299, 2036.9]","[863.028, -123.137, 1915.14]","[1007.38, 32.2717, 2200.64]","[0, 0, 0]"
112,30.303,2,44,"[969.637, 129.555, 2236.95]","[990.969, -42.4435, 2181.66]","[1004.78, -51.6385, 2362.91]","[847.388, -255.239, 2263.84]","[793.279, -246.075, 1986.99]","[1140.23, -45.4026, 2106.71]","[1033.28, -268.737, 1985.39]","[826.973, -97.0336, 1895.99]","[948.579, -282.907, 2120.62]","[943.381, -459.423, 2069.65]","[836.351, -516.362, 2064.38]","[836.049, -912.752, 2065.1]","[836.049, -1277.89, 2065.1]","[1016.3, -493.164, 1979.4]","[927.502, -824.566, 1813.57]","[950.641, -1233.68, 1870.53]","[802.291, -247.602, 2033.13]","[861.362, -125.65, 1910.89]","[1004.15, 32.3116, 2200.64]","[0, 0, 0]"
113,30.303,2,44,"[966.643, 128.603, 2236.54]","[987.865, -42.5659, 2181.66]","[997.45, -51.9165, 2363.05]","[845.289, -257.518, 2263.05]","[810.699, -246.742, 1982.86]","[1135.96, -44.5465, 2105.12]","[1033.92, -267.744, 1981.8]","[822.127, -100.493, 1895.91]","[948.351, -284.24, 2120.41]","[942.452, -460.299, 2069.39]","[836.983, -517.305, 2064.69]","[837.74, -912.058, 2065.1]","[837.74, -1277.19, 2065.1]","[1015.09, -494.642, 1980.99]","[1014.21, -889.781, 1982.28]","[1014.21, -1254.91, 1982.28]","[816.459, -248.539, 2029.56]","[857.427, -128.369, 1910.23]","[1000.12, 32.3416, 2200.64]","[0, 0, 0]"
